"","Substrate","Species","mz"
"258","C99","Ab2_36Ox",3919.35709549098
"259","C99","Ab2_37Ox",3976.41446277432
"260","C99","Ab2_38Ox",4033.50345298261
"261","C99","Ab2_39Ox",4132.59596449219
"262","C99","Ab2_40Ox",4231.73191856952
"263","C99","Ab2_41Ox",4344.891783738
"264","C99","Ab2_42Ox",4415.95750171647
"265","C99","Ab2_43Ox",4517.0617274601
"266","C99","Ab2_44Ox",4616.23526924988
"267","C99","Ab2_45Ox",4729.37645759002
"268","C99","Ab2_46Ox",4828.45438461538
"269","C99","Ab2_47Ox",4941.67612084727
"270","C99","Ab2_48Ox",5042.74507235984
"271","C99","Ab2_49Ox",5155.94966482856
"272","C99","Ab3_23Ox",2607.76274796377
"273","C99","Ab3_24Ox",2706.8754318247
"274","C99","Ab3_25Ox",2763.94950928921
"275","C99","Ab3_26Ox",2851.04036637084
"276","C99","Ab3_27Ox",2965.14549808312
"277","C99","Ab3_28Ox",3093.30331103669
"278","C99","Ab3_29Ox",3150.3410154952
"279","C99","Ab3_30Ox",3221.43184177625
"280","C99","Ab3_31Ox",3334.57092874379
"281","C99","Ab3_32Ox",3447.71687386514
"282","C99","Ab3_33Ox",3504.79346087328
"283","C99","Ab3_34Ox",3617.94684007451
"284","C99","Ab3_35Ox",3749.18180020624
"285","C99","Ab3_36Ox",3848.29292449031
"286","C99","Ab3_37Ox",3905.34157832881
"287","C99","Ab3_38Ox",3962.39401053371
"288","C99","Ab3_39Ox",4061.51682066057
"289","C99","Ab3_40Ox",4160.67774153071
"290","C99","Ab3_41Ox",4273.84609256471
"291","C99","Ab3_42Ox",4344.87500298968
"292","C99","Ab3_43Ox",4445.97979093054
"293","C99","Ab3_44Ox",4545.13721720746
"294","C99","Ab3_45Ox",4658.25784510266
"295","C99","Ab3_46Ox",4757.42984077103
"296","C99","Ab3_47Ox",4870.57318818105
"297","C99","Ab3_48Ox",4971.68324248307
"298","C99","Ab3_49Ox",5084.85228377176
"299","C99","Ab4_23Ox",2478.64905166918
"300","C99","Ab4_24Ox",2577.7796231724
"301","C99","Ab4_25Ox",2634.82935181032
"302","C99","Ab4_26Ox",2721.92530679731
"303","C99","Ab4_27Ox",2836.01750510794
"304","C99","Ab4_28Ox",2964.20738767372
"305","C99","Ab4_29Ox",3021.24048388411
"306","C99","Ab4_30Ox",3092.28477587241
"307","C99","Ab4_31Ox",3205.50354082923
"308","C99","Ab4_32Ox",3318.60499978456
"309","C99","Ab4_33Ox",3375.68181884428
"310","C99","Ab4_34Ox",3488.84102594628
"311","C99","Ab4_35Ox",3620.0596168044
"312","C99","Ab4_36Ox",3719.15125485528
"313","C99","Ab4_37Ox",3776.22784387084
"314","C99","Ab4_38Ox",3833.26850011839
"315","C99","Ab4_39Ox",3932.4022011215
"316","C99","Ab4_40Ox",4031.52286856973
"317","C99","Ab4_41Ox",4144.70939551273
"318","C99","Ab4_42Ox",4215.7744175192
"319","C99","Ab4_43Ox",4316.9100071825
"320","C99","Ab4_44Ox",4416.02835508504
"321","C99","Ab4_45Ox",4529.1703748463
"322","C99","Ab4_46Ox",4628.31321680688
"323","C99","Ab4_47Ox",4741.44283639722
"324","C99","Ab4_48Ox",4842.54873982199
"325","C99","Ab4_49Ox",4955.7077954847
"326","C99","Ab5_23Ox",2331.49034537338
"327","C99","Ab5_24Ox",2430.60382352941
"328","C99","Ab5_25Ox",2487.66640361248
"329","C99","Ab5_26Ox",2574.75038394035
"330","C99","Ab5_27Ox",2688.84592518101
"331","C99","Ab5_28Ox",2817.02125461938
"332","C99","Ab5_29Ox",2874.06821128382
"333","C99","Ab5_30Ox",2945.16458576534
"334","C99","Ab5_31Ox",3058.30183962841
"335","C99","Ab5_32Ox",3171.49471061497
"336","C99","Ab5_33Ox",3228.52067859918
"337","C99","Ab5_34Ox",3341.66522677611
"338","C99","Ab5_35Ox",3472.89444186771
"339","C99","Ab5_36Ox",3572.04003853986
"340","C99","Ab5_37Ox",3629.04682982721
"341","C99","Ab5_38Ox",3686.10525267128
"342","C99","Ab5_39Ox",3785.239816
"343","C99","Ab5_40Ox",3884.3650162661
"344","C99","Ab5_41Ox",3997.54053712613
"345","C99","Ab5_42Ox",4068.61066687267
"346","C99","Ab5_43Ox",4169.70672733785
"347","C99","Ab5_44Ox",4268.83066606615
"348","C99","Ab5_45Ox",4381.97157627518
"349","C99","Ab5_46Ox",4481.12359281589
"350","C99","Ab5_47Ox",4594.27196792935
"351","C99","Ab5_48Ox",4695.39159345273
"352","C99","Ab5_49Ox",4808.58281505231
"353","C99","Ab11_23Ox",1615.78447609702
"354","C99","Ab11_24Ox",1714.88447762216
"355","C99","Ab11_25Ox",1771.93249711306
"356","C99","Ab11_26Ox",1859.02148757102
"357","C99","Ab11_27Ox",1973.11914326748
"358","C99","Ab11_28Ox",2101.31094515737
"359","C99","Ab11_29Ox",2158.32638188767
"360","C99","Ab11_30Ox",2229.42864598705
"361","C99","Ab11_31Ox",2342.6060289072
"362","C99","Ab11_32Ox",2455.71493254965
"363","C99","Ab11_33Ox",2512.79302088343
"364","C99","Ab11_34Ox",2625.97906964014
"365","C99","Ab11_35Ox",2757.16036610383
"366","C99","Ab11_36Ox",2856.28077456581
"367","C99","Ab11_37Ox",2913.29665864462
"368","C99","Ab11_38Ox",2970.41695894428
"369","C99","Ab11_39Ox",3069.53116347884
"370","C99","Ab11_40Ox",3168.66958874295
"371","C99","Ab11_41Ox",3281.80132878855
"372","C99","Ab11_42Ox",3352.87320816358
"373","C99","Ab11_43Ox",3453.97921697017
"374","C99","Ab11_44Ox",3553.10347708223
"375","C99","Ab11_45Ox",3666.29136052149
"376","C99","Ab11_46Ox",3765.38702295821
"377","C99","Ab11_47Ox",3878.56885608713
"378","C99","Ab11_48Ox",3979.66263167542
"379","C99","Ab11_49Ox",4092.85224725549
"380","C99","Ab17_23Ox",856.929112277276
"381","C99","Ab17_24Ox",956.082966304164
"382","C99","Ab17_25Ox",1013.11889248504
"383","C99","Ab17_26Ox",1100.20760560708
"384","C99","Ab17_27Ox",1214.30591334755
"385","C99","Ab17_28Ox",1342.47584973802
"386","C99","Ab17_29Ox",1399.53427641802
"387","C99","Ab17_30Ox",1470.60858592764
"388","C99","Ab17_31Ox",1583.76293075769
"389","C99","Ab17_32Ox",1696.92483086681
"390","C99","Ab17_33Ox",1753.97655282338
"391","C99","Ab17_34Ox",1867.14134876944
"392","C99","Ab17_35Ox",1998.32815745343
"393","C99","Ab17_36Ox",2097.45460527729
"394","C99","Ab17_37Ox",2154.50686602712
"395","C99","Ab17_38Ox",2211.56446489142
"396","C99","Ab17_39Ox",2310.71491804979
"397","C99","Ab17_40Ox",2409.83153204442
"398","C99","Ab17_41Ox",2523.0181407918
"399","C99","Ab17_42Ox",2594.08316581525
"400","C99","Ab17_43Ox",2695.1547526751
"401","C99","Ab17_44Ox",2794.28103042802
"402","C99","Ab17_45Ox",2907.46352101564
"403","C99","Ab17_46Ox",3006.58814038199
"404","C99","Ab17_47Ox",3119.72375039397
"405","C99","Ab17_48Ox",3220.83716738063
"406","C99","Ab17_49Ox",3334.01019296529
"407","C99","Ab19_23Ox",644.652888888889
"408","C99","Ab19_24Ox",743.784093155648
"409","C99","Ab19_25Ox",800.830718651345
"410","C99","Ab19_26Ox",887.907871823002
"411","C99","Ab19_27Ox",1002.02595377434
"412","C99","Ab19_28Ox",1130.19290971489
"413","C99","Ab19_29Ox",1187.23371312753
"414","C99","Ab19_30Ox",1258.31929028082
"415","C99","Ab19_31Ox",1371.45113093167
"416","C99","Ab19_32Ox",1484.63242522369
"417","C99","Ab19_33Ox",1541.69397356052
"418","C99","Ab19_34Ox",1654.84776149459
"419","C99","Ab19_35Ox",1786.03973886499
"420","C99","Ab19_36Ox",1885.14171504557
"421","C99","Ab19_37Ox",1942.2390197887
"422","C99","Ab19_38Ox",1999.27918665234
"423","C99","Ab19_39Ox",2098.39606814156
"424","C99","Ab19_40Ox",2197.53602203773
"425","C99","Ab19_41Ox",2310.70918994165
"426","C99","Ab19_42Ox",2381.78278439305
"427","C99","Ab19_43Ox",2482.87802112994
"428","C99","Ab19_44Ox",2582.02484960144
"429","C99","Ab19_45Ox",2695.14888708345
"430","C99","Ab19_46Ox",2794.31421432954
"431","C99","Ab19_47Ox",2907.4393252343
"432","C99","Ab19_48Ox",3008.57439774476
"433","C99","Ab19_49Ox",3121.69079658665
"434","C99","Ab1_23pE",2759.93021701154
"435","C99","Ab1_24pE",2859.05155413271
"436","C99","Ab1_25pE",2916.10271613291
"437","C99","Ab1_26pE",3003.17441197111
"438","C99","Ab1_27pE",3117.28139429237
"439","C99","Ab1_28pE",3245.4513784073
"440","C99","Ab1_29pE",3302.52356891964
"441","C99","Ab1_30pE",3373.56755937981
"442","C99","Ab1_31pE",3486.76546017154
"443","C99","Ab1_32pE",3599.89877359472
"444","C99","Ab1_33pE",3656.95064193715
"445","C99","Ab1_34pE",3770.10890385143
"446","C99","Ab1_35pE",3901.29557526989
"447","C99","Ab1_36pE",4000.44069881011
"448","C99","Ab1_37pE",4057.46617607957
"449","C99","Ab1_38pE",4114.54025921465
"450","C99","Ab1_39pE",4213.70909635885
"451","C99","Ab1_40pE",4312.84387595698
"452","C99","Ab1_41pE",4425.96498302207
"453","C99","Ab1_42pE",4497.04295963252
"454","C99","Ab1_43pE",4598.16951588039
"455","C99","Ab1_44pE",4697.27438921006
"456","C99","Ab1_45pE",4810.4313618601
"457","C99","Ab1_46pE",4909.58255452644
"458","C99","Ab1_47pE",5022.75530930481
"459","C99","Ab1_48pE",5123.83031965841
"460","C99","Ab1_49pE",5236.98336019178
"461","C99","Ab2_23pE",2644.84617804979
"462","C99","Ab2_24pE",2743.95347740041
"463","C99","Ab2_25pE",2801.0226610368
"464","C99","Ab2_26pE",2888.12267116427
"465","C99","Ab2_27pE",3002.19035209653
"466","C99","Ab2_28pE",3130.36369248344
"467","C99","Ab2_29pE",3187.40573955556
"468","C99","Ab2_30pE",3258.47229492958
"469","C99","Ab2_31pE",3371.68470247547
"470","C99","Ab2_32pE",3484.81379663182
"471","C99","Ab2_33pE",3541.8807463446
"472","C99","Ab2_34pE",3655.03496983871
"473","C99","Ab2_35pE",3786.23002754407
"474","C99","Ab2_36pE",3885.34309549098
"475","C99","Ab2_37pE",3942.40046277433
"476","C99","Ab2_38pE",3999.48945298261
"477","C99","Ab2_39pE",4098.58196449219
"478","C99","Ab2_40pE",4197.71791856952
"479","C99","Ab2_41pE",4310.877783738
"480","C99","Ab2_42pE",4381.94350171647
"481","C99","Ab2_43pE",4483.0477274601
"482","C99","Ab2_44pE",4582.22126924988
"483","C99","Ab2_45pE",4695.36245759002
"484","C99","Ab2_46pE",4794.44038461538
"485","C99","Ab2_47pE",4907.66212084727
"486","C99","Ab2_48pE",5008.73107235984
"487","C99","Ab2_49pE",5121.93566482856
"488","C99","Ab3_23pE",2573.74874796377
"489","C99","Ab3_24pE",2672.8614318247
"490","C99","Ab3_25pE",2729.93550928921
"491","C99","Ab3_26pE",2817.02636637084
